,Any,Genere,Durada,Premis,Pop
0,1990,Comedy,111.0,No,68.0
1,1991,Comedy,113.0,No,68.0
2,1983,Horror,104.0,No,79.0
3,1979,Action,122.0,No,6.0
4,1978,Drama,94.0,No,14.0
5,1983,Action,140.0,No,68.0
6,1984,Action,101.0,No,14.0
7,1989,Drama,99.0,No,28.0
8,1985,Drama,104.0,No,6.0
9,1990,Drama,149.0,No,32.0
10,1982,Drama,188.0,Yes,81.0
11,1982,Drama,117.0,No,17.0
12,1966,Drama,103.0,Yes,46.0
13,1986,Drama,112.0,No,49.0
14,1966,Drama,103.0,Yes,6.0
15,1985,Drama,112.0,Yes,39.0
16,1976,Drama,150.0,No,51.0
17,1929,Mystery,84.0,No,2.0
18,1963,Comedy,109.0,No,62.0
19,1988,Drama,110.0,No,68.0
20,1988,Comedy,101.0,No,15.0
21,1981,Action,116.0,No,8.0
22,1987,Science Fiction,101.0,No,31.0
23,1991,Action,105.0,No,79.0
24,1988,Drama,127.0,No,23.0
25,1990,Drama,97.0,No,80.0
26,1988,Drama,108.0,No,53.0
27,1980,Horror,,No,88.0
28,1989,Mystery,88.0,No,88.0
29,1979,Drama,110.0,No,19.0
30,1960,Drama,90.0,No,20.0
31,1957,Drama,91.0,Yes,42.0
32,1956,Drama,96.0,No,62.0
33,1992,Drama,90.0,No,36.0
34,1955,Drama,86.0,No,14.0
35,1955,Drama,95.0,No,38.0
36,1962,Drama,91.0,Yes,64.0
37,1972,Drama,91.0,Yes,18.0
38,1958,Action,104.0,No,52.0
39,1967,Comedy,130.0,No,11.0
40,1962,Action,,No,7.0
41,1954,Drama,103.0,No,11.0
42,1979,Comedy,121.0,No,60.0
43,1983,Comedy,118.0,No,67.0
44,1966,Drama,190.0,No,8.0
45,1966,Mystery,125.0,No,35.0
46,1986,Drama,107.0,No,82.0
47,1965,Music,172.0,Yes,59.0
48,1985,Comedy,55.0,No,88.0
49,1984,Comedy,140.0,No,67.0
50,1988,Comedy,104.0,No,53.0
51,1978,Mystery,106.0,No,85.0
52,1992,Music,286.0,No,5.0
53,1978,Mystery,108.0,No,19.0
54,1992,Drama,95.0,No,3.0
55,1987,Mystery,120.0,No,61.0
56,1992,Action,117.0,No,28.0
57,1981,Drama,106.0,No,82.0
58,1992,Mystery,97.0,No,68.0
59,1991,War,115.0,No,68.0
60,1924,Drama,110.0,No,79.0
61,1991,Horror,90.0,No,69.0
62,1988,Drama,118.0,No,7.0
63,1991,Drama,115.0,No,51.0
64,1986,Comedy,108.0,No,52.0
65,1985,Comedy,97.0,No,81.0
66,1985,Comedy,104.0,No,41.0
67,1971,Comedy,102.0,No,83.0
68,1959,Action,91.0,No,11.0
69,1926,Action,126.0,No,55.0
70,1987,Drama,102.0,Yes,79.0
71,1989,Drama,118.0,No,20.0
72,1988,Action,141.0,No,8.0
73,1926,Mystery,66.0,No,76.0
74,1988,Mystery,103.0,No,75.0
75,1974,Mystery,128.0,Yes,8.0
76,1955,War,115.0,No,15.0
77,1977,Action,136.0,No,27.0
78,1988,Action,100.0,No,61.0
79,1991,Horror,89.0,No,37.0
80,1989,Action,103.0,No,40.0
81,1996,Horror,96.0,No,39.0
82,1992,Drama,100.0,No,9.0
83,1980,Drama,124.0,Yes,3.0
84,1988,Science Fiction,90.0,No,70.0
85,1982,Horror,120.0,No,70.0
86,1987,Drama,100.0,No,6.0
87,1971,Drama,101.0,No,62.0
88,1957,Comedy,99.0,No,25.0
89,1969,Drama,86.0,No,66.0
90,1958,Comedy,77.0,No,37.0
91,1959,Comedy,90.0,No,16.0
92,1967,Action,100.0,No,54.0
93,1968,Westerns,113.0,No,0.0
94,1964,Drama,102.0,No,81.0
95,1965,Comedy,100.0,No,71.0
96,1962,Drama,134.0,No,30.0
97,1964,Comedy,99.0,No,34.0
98,1958,Comedy,90.0,No,70.0
99,1955,Comedy,90.0,No,83.0
100,1962,War,100.0,No,8.0
101,1957,Drama,90.0,No,29.0
102,1973,Drama,87.0,No,39.0
103,1987,Drama,97.0,No,48.0
104,1932,Drama,92.0,No,57.0
105,1987,Action,104.0,No,9.0
106,1982,Science Fiction,115.0,Yes,8.0
107,1992,Drama,101.0,No,44.0
108,1988,Comedy,83.0,No,47.0
109,1989,Action,126.0,No,14.0
110,1987,Comedy,95.0,No,7.0
111,1982,Action,101.0,No,40.0
112,1992,Drama,125.0,No,50.0
113,1983,Action,134.0,No,8.0
114,1986,Drama,117.0,No,7.0
115,1989,Mystery,,No,71.0
116,1986,Drama,108.0,No,11.0
117,1991,Comedy,116.0,No,84.0
118,1990,Horror,123.0,Yes,48.0
119,1946,Drama,93.0,No,66.0
120,1984,Drama,95.0,No,36.0
121,1990,Mystery,101.0,No,74.0
122,1988,Drama,96.0,No,52.0
123,1989,Comedy,103.0,No,49.0
124,1988,Action,96.0,No,0.0
125,1990,Mystery,127.0,No,69.0
126,1942,Drama,123.0,No,59.0
127,1972,Comedy,100.0,No,55.0
128,1977,Drama,102.0,No,2.0
129,1982,Comedy,,No,18.0
130,1990,Drama,105.0,No,88.0
131,1948,Mystery,99.0,No,31.0
132,1945,Drama,103.0,No,80.0
133,1988,Action,76.0,No,68.0
134,1985,Comedy,55.0,No,79.0
135,1982,Drama,188.0,Yes,7.0
136,1975,Action,120.0,No,2.0
137,1971,Drama,96.0,No,10.0
138,1970,Comedy,126.0,No,83.0
139,1972,Drama,90.0,No,55.0
140,1935,Comedy,75.0,No,72.0
141,1978,Drama,97.0,Yes,49.0
142,1944,Drama,114.0,Yes,25.0
143,1958,Drama,100.0,No,1.0
144,1941,Drama,75.0,No,32.0
145,1948,Drama,100.0,No,7.0
146,1982,Drama,195.0,Yes,15.0
147,1969,Drama,98.0,No,2.0
148,1949,Drama,117.0,No,74.0
149,1946,Mystery,101.0,No,42.0
150,1940,Drama,90.0,No,14.0
151,1961,Drama,120.0,No,6.0
152,1956,Drama,106.0,Yes,24.0
153,1945,Drama,126.0,No,31.0
154,1937,Drama,91.0,No,32.0
155,1938,Drama,104.0,No,49.0
156,1935,Drama,90.0,No,88.0
157,1939,Drama,87.0,No,26.0
158,1938,Drama,74.0,No,19.0
159,1956,Drama,98.0,No,33.0
160,1952,Drama,110.0,No,34.0
161,1953,Drama,83.0,No,57.0
162,1954,Drama,81.0,No,69.0
163,1950,Drama,107.0,No,69.0
164,1969,Comedy,103.0,Yes,67.0
165,1989,Comedy,105.0,No,16.0
166,1990,Drama,90.0,No,16.0
167,1987,Action,91.0,No,71.0
168,1982,Action,128.0,No,45.0
169,1991,Mystery,91.0,No,88.0
170,1970,Comedy,94.0,No,31.0
171,1982,Drama,108.0,No,84.0
172,1983,Comedy,60.0,No,20.0
173,1984,Drama,158.0,Yes,6.0
174,1973,Action,101.0,No,54.0
175,1988,Drama,172.0,Yes,5.0
176,1972,Western,124.0,No,65.0
177,1970,Drama,137.0,Yes,0.0
178,1973,Drama,116.0,Yes,10.0
179,1952,Comedy,107.0,No,66.0
180,1976,Horror,116.0,No,35.0
181,1969,Drama,94.0,No,36.0
182,1991,Drama,98.0,No,2.0
183,1974,Drama,144.0,No,81.0
184,1964,Action,112.0,No,77.0
185,1977,Horror,117.0,No,29.0
186,1953,,61.0,No,
187,1942,Drama,88.0,No,12.0
188,1968,Drama,103.0,Yes,38.0
189,1973,Western,105.0,No,57.0
190,1982,Drama,123.0,No,69.0
191,1990,Horror,102.0,No,72.0
192,1987,Drama,98.0,No,45.0
193,1985,Drama,105.0,No,49.0
194,1993,Comedy,60.0,No,13.0
195,1974,Comedy,89.0,No,83.0
196,1993,Comedy,65.0,No,62.0
197,1958,Comedy,101.0,No,67.0
198,1981,Action,129.0,No,86.0
199,1928,War,139.0,Yes,44.0
200,1992,Action,106.0,No,6.0
201,1989,Drama,,No,15.0
202,1985,Drama,119.0,Yes,10.0
203,1990,Action,121.0,No,48.0
204,1973,Drama,129.0,Yes,83.0
205,1958,War,96.0,No,50.0
206,1986,Drama,101.0,No,45.0
207,1990,Drama,135.0,No,76.0
208,1948,Drama,110.0,No,73.0
209,1987,Comedy,91.0,No,66.0
210,1965,Drama,123.0,No,9.0
211,1980,Drama,104.0,No,58.0
212,1988,Mystery,120.0,No,17.0
213,1978,Science Fiction,114.0,No,64.0
214,1988,Drama,117.0,No,29.0
215,1988,Action,90.0,No,13.0
216,1973,Horror,122.0,Yes,28.0
217,1975,Comedy,112.0,Yes,82.0
218,1982,Drama,94.0,No,70.0
219,1952,War,109.0,No,4.0
220,1954,Short,40.0,No,62.0
221,1989,Comedy,114.0,No,18.0
222,1990,Drama,102.0,No,6.0
223,1971,Mystery,98.0,No,1.0
224,1983,Comedy,50.0,No,28.0
225,1989,Drama,80.0,No,19.0
226,1987,Western,91.0,No,40.0
227,1984,Comedy,94.0,No,75.0
228,1984,Science Fiction,99.0,No,63.0
229,1989,Action,125.0,No,73.0
230,1963,Drama,138.0,Yes,80.0
231,1935,Horror,64.0,No,33.0
232,1988,Drama,103.0,No,71.0
233,1966,War,175.0,No,63.0
234,1974,Drama,313.0,Yes,28.0
235,1977,Horror,104.0,No,54.0
236,1983,Drama,104.0,No,51.0
237,1936,Mystery,84.0,No,50.0
238,1986,Comedy,71.0,No,40.0
239,1972,Action,71.0,No,50.0
240,1987,Mystery,119.0,No,14.0
241,1990,Comedy,107.0,No,61.0
242,1982,Comedy,92.0,No,65.0
243,1987,Comedy,,No,23.0
244,1977,Horror,91.0,No,34.0
245,1990,Comedy,,No,32.0
246,1989,Action,90.0,No,15.0
247,1970,Comedy,26.0,No,22.0
248,1943,Action,99.0,No,87.0
249,1992,Comedy,99.0,No,85.0
250,1989,Mystery,113.0,No,86.0
251,1987,Comedy,103.0,Yes,6.0
252,1987,Comedy,119.0,No,8.0
253,1979,Action,128.0,No,32.0
254,1984,Drama,106.0,No,72.0
255,1986,Comedy,88.0,No,16.0
256,1989,Drama,90.0,No,77.0
257,1975,Comedy,109.0,Yes,69.0
258,1985,Drama,111.0,No,43.0
259,1965,Drama,122.0,Yes,44.0
260,1963,Drama,120.0,No,63.0
261,1931,Comedy,68.0,No,66.0
262,1931,Western,110.0,No,22.0
263,1967,Western,111.0,No,50.0
264,1968,Action,103.0,No,57.0
265,1989,Comedy,91.0,No,12.0
266,1987,Drama,118.0,No,7.0
267,1980,Comedy,91.0,No,0.0
268,1988,Drama,119.0,No,77.0
269,1990,Drama,111.0,Yes,73.0
270,1991,Comedy,119.0,No,74.0
271,1946,Drama,105.0,No,65.0
272,1987,Comedy,101.0,No,20.0
273,1948,Drama,81.0,No,39.0
274,1962,Comedy,91.0,No,37.0
275,1989,Comedy,108.0,No,51.0
276,1992,Drama,135.0,No,87.0
277,1966,Western,99.0,No,15.0
278,1986,Comedy,88.0,No,49.0
279,1991,Drama,96.0,No,72.0
280,1961,Comedy,66.0,No,4.0
281,1990,Adventure,110.0,No,66.0
282,1962,Drama,110.0,Yes,11.0
283,1989,Science Fiction,90.0,No,20.0
284,1991,Horror,95.0,No,31.0
285,1989,Horror,103.0,No,27.0
286,1992,Music,60.0,No,13.0
287,1977,Comedy,123.0,No,82.0
288,1987,Comedy,109.0,No,3.0
289,1988,Comedy,108.0,Yes,7.0
290,1954,Comedy,96.0,No,48.0
291,1957,Drama,82.0,No,57.0
292,1986,Drama,120.0,No,71.0
293,1979,Music,122.0,No,67.0
294,1989,Comedy,97.0,No,81.0
295,1974,Adventure,124.0,Yes,81.0
296,1990,Comedy,106.0,No,22.0
297,1980,Mystery,90.0,No,74.0
298,1990,Drama,94.0,No,35.0
299,1971,Drama,74.0,No,36.0
300,1969,Western,128.0,Yes,77.0
301,1942,War,18.0,No,75.0
302,1948,Western,103.0,No,72.0
303,1965,Mystery,133.0,No,68.0
304,1946,Drama,110.0,No,20.0
305,1939,Drama,96.0,No,18.0
306,1950,Drama,138.0,Yes,23.0
307,1986,Horror,96.0,No,33.0
308,1990,Comedy,89.0,No,24.0
309,1988,Horror,93.0,No,16.0
310,1989,Drama,104.0,No,53.0
311,1956,Mystery,120.0,No,15.0
312,1992,Science Fiction,90.0,No,14.0
313,1940,Mystery,120.0,No,61.0
314,1949,Drama,115.0,Yes,81.0
315,1986,Drama,120.0,No,25.0
316,1975,Action,89.0,No,4.0
317,1942,Drama,85.0,No,36.0
318,1989,Drama,120.0,No,5.0
319,1990,Drama,93.0,No,33.0
320,1967,Drama,90.0,No,28.0
321,1992,Action,86.0,No,16.0
322,1987,Action,86.0,No,24.0
323,1989,Action,95.0,No,83.0
324,1983,Comedy,99.0,No,28.0
325,1980,Drama,103.0,No,40.0
326,1986,Drama,108.0,No,15.0
327,1983,Mystery,114.0,No,15.0
328,1981,Action,135.0,No,87.0
329,1977,War,107.0,No,59.0
330,1980,Drama,135.0,No,66.0
331,1986,Drama,120.0,Yes,87.0
332,1989,Drama,127.0,No,86.0
333,1990,Drama,125.0,No,6.0
334,1989,Action,113.0,No,5.0
335,1988,Drama,103.0,No,19.0
336,1981,Science Fiction,94.0,No,62.0
337,1989,Action,89.0,No,10.0
338,1990,Comedy,56.0,No,12.0
339,1940,Drama,83.0,No,24.0
340,1961,Drama,190.0,Yes,39.0
341,1989,Comedy,60.0,No,12.0
342,1990,Comedy,97.0,No,72.0
343,1987,Drama,130.0,No,71.0
344,1991,Drama,158.0,No,57.0
345,1987,Drama,118.0,No,41.0
346,1993,Mystery,30.0,No,60.0
347,1991,Comedy,99.0,No,78.0
348,1979,Mystery,110.0,No,7.0
349,1991,Drama,110.0,No,81.0
350,1991,Drama,102.0,No,33.0
351,1946,Western,97.0,No,12.0
352,1950,Western,86.0,No,30.0
353,1949,Western,93.0,No,84.0
354,1985,Comedy,90.0,No,82.0
355,1986,Comedy,87.0,No,39.0
356,1992,Drama,85.0,No,69.0
357,1976,Comedy,116.0,Yes,48.0
358,1974,Drama,131.0,Yes,55.0
359,1975,Drama,117.0,No,87.0
360,1977,Drama,134.0,No,34.0
361,1987,Drama,97.0,No,23.0
362,1990,Drama,104.0,No,20.0
363,1947,Comedy,118.0,No,10.0
364,1943,Drama,,No,42.0
365,1974,Drama,117.0,No,1.0
366,1981,Comedy,117.0,No,5.0
367,1980,Horror,144.0,No,32.0
368,1945,Western,91.0,No,54.0
369,1993,Comedy,92.0,No,34.0
370,1979,Horror,92.0,No,51.0
371,1970,Action,123.0,No,3.0
372,1984,Comedy,105.0,No,41.0
373,1991,Mystery,86.0,No,64.0
374,1961,Drama,140.0,No,20.0
375,1966,Comedy,103.0,No,60.0
376,1974,Action,127.0,No,41.0
377,1985,Action,96.0,No,45.0
378,1967,Comedy,103.0,No,80.0
379,1993,Music,53.0,No,48.0
380,1992,Mystery,97.0,No,8.0
381,1987,Drama,94.0,No,41.0
382,1987,Drama,94.0,No,38.0
383,1956,Drama,101.0,No,32.0
384,1985,Comedy,84.0,Yes,20.0
385,1984,Comedy,85.0,No,14.0
386,1992,Comedy,108.0,No,80.0
387,1986,Comedy,103.0,Yes,8.0
388,1979,Action,115.0,No,8.0
389,1986,Drama,95.0,No,52.0
390,1981,Comedy,96.0,No,80.0
391,1936,Comedy,70.0,No,28.0
392,1978,Drama,450.0,No,1.0
393,1990,Science Fiction,103.0,No,47.0
394,1992,Drama,90.0,No,67.0
395,1988,Action,95.0,No,2.0
396,1987,Comedy,95.0,No,84.0
397,1984,Drama,112.0,Yes,83.0
398,1991,Drama,106.0,No,55.0
399,1977,Drama,113.0,No,17.0
400,1981,Drama,116.0,No,76.0
401,1979,Drama,110.0,Yes,64.0
402,1989,Drama,118.0,No,66.0
403,1989,Comedy,101.0,No,42.0
404,1980,Science Fiction,124.0,No,33.0
405,1977,Science Fiction,121.0,No,44.0
406,1983,Science Fiction,132.0,No,4.0
407,1991,Drama,104.0,No,72.0
408,1956,Action,99.0,No,52.0
409,1957,Western,120.0,No,84.0
410,1931,Western,,No,51.0
411,1990,Comedy,89.0,No,79.0
412,1972,Drama,129.0,No,75.0
413,1979,Drama,122.0,No,43.0
414,1986,Mystery,100.0,No,6.0
415,1971,Drama,114.0,Yes,15.0
416,1979,Comedy,113.0,No,34.0
417,1965,Comedy,97.0,Yes,62.0
418,1991,Drama,,Yes,1.0
419,1940,Drama,130.0,Yes,78.0
420,1944,Drama,96.0,No,44.0
421,1973,Action,87.0,No,31.0
422,1992,Mystery,85.0,No,26.0
423,1989,Mystery,83.0,No,80.0
424,1990,Mystery,94.0,No,10.0
425,1983,Comedy,95.0,No,30.0
426,1991,Mystery,118.0,Yes,8.0
427,1988,Drama,98.0,No,76.0
428,1972,Comedy,92.0,No,33.0
429,1988,Drama,,No,88.0
430,1955,Drama,,No,66.0
431,1989,Drama,103.0,Yes,32.0
432,1987,Comedy,92.0,No,45.0
433,1934,Drama,85.0,No,57.0
434,1931,Drama,74.0,No,66.0
435,1930,Drama,92.0,No,0.0
436,1926,Drama,109.0,No,72.0
437,1928,Drama,90.0,No,83.0
438,1935,Drama,96.0,Yes,35.0
439,1936,Drama,110.0,No,74.0
440,1931,Drama,91.0,No,67.0
441,1929,Drama,100.0,No,70.0
442,1932,Drama,112.0,Yes,81.0
443,1931,Drama,84.0,No,64.0
444,1939,Comedy,108.0,No,40.0
445,1933,Drama,97.0,No,82.0
446,1928,Drama,96.0,No,72.0
447,1925,Drama,125.0,No,73.0
448,1929,Drama,74.0,No,73.0
449,1932,Drama,71.0,No,85.0
450,1930,Drama,76.0,No,62.0
451,1962,Drama,105.0,No,60.0
452,1982,Comedy,116.0,Yes,8.0
453,1989,Comedy,86.0,No,88.0
454,1953,Drama,120.0,No,50.0
455,1979,Comedy,120.0,No,24.0
456,1975,Action,124.0,No,6.0
457,1987,Drama,93.0,No,44.0
458,1989,Drama,120.0,No,49.0
459,1975,Drama,111.0,No,64.0
460,1979,Comedy,89.0,No,75.0
461,1986,Drama,122.0,No,77.0
462,1959,Western,102.0,No,76.0
463,1954,Action,108.0,No,56.0
464,1961,Drama,134.0,Yes,43.0
465,1983,Drama,109.0,No,3.0
466,1988,Drama,100.0,No,60.0
467,1987,Comedy,102.0,No,44.0
468,1986,Comedy,120.0,No,69.0
469,1978,Drama,117.0,No,11.0
470,1988,Drama,134.0,Yes,8.0
471,1966,Drama,95.0,No,20.0
472,1964,Science Fiction,51.0,No,27.0
473,1988,Horror,,No,62.0
474,1979,Western,180.0,No,62.0
475,1991,Comedy,,No,74.0
476,1932,Crime,66.0,No,66.0
477,1986,Drama,120.0,No,19.0
478,1990,Drama,126.0,No,82.0
479,1988,Comedy,115.0,No,25.0
480,1992,Mystery,133.0,No,11.0
481,1991,Horror,76.0,No,40.0
482,1988,Comedy,99.0,No,2.0
483,1991,Action,136.0,No,8.0
484,1984,Action,108.0,No,17.0
485,1986,Action,105.0,No,20.0
486,1969,Comedy,125.0,No,59.0
487,1991,Drama,186.0,No,81.0
488,1990,Comedy,,No,61.0
489,1992,Comedy,99.0,No,58.0
490,1985,Drama,100.0,No,73.0
491,1983,Horror,82.0,No,24.0
492,1984,Drama,93.0,No,14.0
493,1989,Comedy,,No,53.0
494,1987,Comedy,107.0,No,66.0
495,1982,Action,117.0,No,1.0
496,1987,Drama,126.0,Yes,6.0
497,1992,Drama,111.0,No,58.0
498,1989,Drama,89.0,No,59.0
499,1938,Western,298.0,No,82.0
500,1936,Comedy,89.0,No,86.0
501,1976,Drama,99.0,No,85.0
502,1988,Drama,88.0,No,65.0
503,1983,Drama,93.0,Yes,61.0
504,1987,Drama,96.0,No,5.0
505,1989,Horror,87.0,No,36.0
506,1991,Mystery,96.0,No,23.0
507,1986,Science Fiction,110.0,No,8.0
508,1987,Action,93.0,No,51.0
509,1989,Action,104.0,No,9.0
510,1970,Comedy,94.0,No,41.0
511,1984,Drama,100.0,No,81.0
512,1978,Comedy,112.0,No,46.0
513,1982,Comedy,109.0,No,74.0
514,1972,Drama,109.0,Yes,82.0
515,1987,Comedy,112.0,No,6.0
516,1974,Drama,103.0,No,23.0
517,1992,Comedy,102.0,No,14.0
518,1986,Comedy,106.0,No,22.0
519,1984,Comedy,100.0,No,53.0
520,1980,Comedy,102.0,No,49.0
521,1974,Drama,109.0,No,28.0
522,1980,Comedy,110.0,No,61.0
523,1991,Mystery,115.0,No,55.0
524,1931,Drama,95.0,No,84.0
525,1972,Drama,78.0,No,84.0
526,1964,Drama,132.0,No,29.0
527,1952,Drama,98.0,No,49.0
528,1948,Mystery,87.0,No,16.0
529,1940,Drama,81.0,No,57.0
530,1946,Drama,110.0,No,57.0
531,1948,Drama,98.0,No,48.0
532,1990,Comedy,105.0,No,84.0
533,1964,Drama,130.0,No,2.0
534,1987,Mystery,85.0,No,0.0
535,1984,Comedy,90.0,No,3.0
536,1985,Mystery,95.0,No,27.0
537,1949,Drama,84.0,No,87.0
538,1964,Music,170.0,Yes,10.0
539,1960,Drama,123.0,No,32.0
540,1976,Action,106.0,No,6.0
541,1961,Drama,109.0,No,60.0
542,1956,Drama,121.0,No,21.0
543,1952,Comedy,95.0,No,48.0
544,1968,Drama,134.0,Yes,78.0
545,1991,Western,132.0,No,75.0
546,1967,Drama,108.0,Yes,50.0
547,1957,Comedy,153.0,No,51.0
548,1975,Western,107.0,No,76.0
549,1981,Drama,109.0,Yes,23.0
550,1991,Comedy,101.0,No,62.0
551,1991,Drama,116.0,No,73.0
552,1991,Drama,145.0,No,34.0
553,1991,Drama,115.0,No,22.0
554,1991,Comedy,113.0,No,25.0
555,1991,Comedy,112.0,No,66.0
556,1991,Comedy,113.0,No,12.0
557,1992,Drama,95.0,No,31.0
558,1986,Drama,114.0,No,2.0
559,1987,Comedy,112.0,No,50.0
